chromosome	start	end	gene	log2	cn	depth	probes	weight	sem	ci_lo	ci_hi	pi_lo	pi_hi
chr1	11411	139894	DDX11L1,WASH7P,MIR1302-9,FAM138F,OR4F5,LOC729737	0.14902	2	47.3626	160	132.091	0.0222986	0.116727	0.181951	-0.437593	0.652827
chr1	139894	166014	LOC729737	-0.509455	1	23.7688	36	29.2771	0.0578598	-0.611897	-0.393578	-1.20488	0.0190173
chr1	166014	366981	DDX11L17,MIR6859-3,FAM138D	0.182546	2	46.1685	135	112.738	0.0283521	0.126178	0.225447	-0.448652	0.836263
chr1	366981	760096	-,OR4F3,LOC100132287,LOC101928626,OR4F3,LOC100288069	-0.355005	1	28.943	409	324.499	0.0209039	-0.389565	-0.317501	-1.25802	0.349074
chr1	760801	870764	LOC100288069,FAM87B,LINC00115,LINC01128,FAM41C	0.120219	2	40.207	147	129.148	0.0254033	0.0685059	0.171735	-0.471253	0.779991
chr1	870764	1301454	FAM41C,LINC02593,LOC107985728,SAMD11,NOC2L,KLHL17,PLEKHN1,PERM1,ISG15,AGRN,LOC100288175,LOC105378948,RNF223,C1orf159,LINC01342,MIR429,TTLL10,TNFRSF18,TNFRSF4,SDF4,B3GALT6,C1QTNF12,UBE2J2,SCNN1D,ACAP3	-0.0608761	2	34.2193	533	437.949	0.0142228	-0.0899968	-0.029212	-0.749437	0.658476
chr1	1301454	1445252	ACAP3,PUSL1,INTS11,CPTP,TAS1R3,DVL1,MXRA8,AURKAIP1,CCNL2,MRPL20-AS1,MRPL20,ANKRD65,TMEM88B,LINC01770,VWA1	0.123973	2	41.6717	180	149.198	0.0255729	0.0820209	0.167533	-0.602882	0.780669
chr1	1445252	1550281	ATAD3C,ATAD3B,ATAD3A,TMEM240,SSU72	-0.190157	2	34.6645	142	116.167	0.0258861	-0.243724	-0.13674	-0.877609	0.387843
chr1	1550281	1801223	SSU72,FNDC10,LOC105378586,MIB2,MMP23B,CDK11B,SLC35E2B,MMP23A,CDK11A,SLC35E2A,NADK,GNB1	0.0496868	2	40.9942	321	245.487	0.019082	0.0135049	0.0867034	-0.666539	0.684083
chr1	1801223	2064853	GNB1,LOC105378949,CALML6,TMEM52,CFAP74,GABRD,LOC105378591,PRKCZ	-0.133035	2	34.89	360	293.942	0.0164513	-0.17096	-0.101082	-0.738506	0.448187
chr1	2064853	2598456	PRKCZ,FAAP20,SKI,MORN1,RER1,PEX10,PLCH2,PANK4,HES5,TNFRSF14-AS1,TNFRSF14,LOC100996583,PRXL2B,MMEL1	0.0459032	2	38.1015	715	588.695	0.0115677	0.0283331	0.0692331	-0.593788	0.658555
chr1	2598456	3622578	MMEL1,TTC34,ACTRT2,PRDM16-DT,PRDM16,ARHGEF16,MEGF6	-0.158024	2	29.3028	1288	988.486	0.00891789	-0.175605	-0.140152	-0.781031	0.513205
chr1	3622578	3674747	TPRG1L,WRAP73,TP73	0.113413	2	40.0196	70	61.6872	0.0323353	0.0725443	0.183126	-0.436481	0.713454
chr1	3674747	6780884	TP73,TP73-AS1,CCDC27,SMIM1,LRRC47,CEP104,DFFB,C1orf174,LINC01134,LINC01346,LINC01777,LINC01646,AJAP1,NPHP4,KCNAB2,KCNAB2,CHD5,RPL22,RPL22,RNF207-AS1,RNF207,ICMT,LINC00337,HES3,GPR153,ACOT7,HES2,ESPN,TNFRSF25,PLEKHG5,NOL9,TAS1R1,ZBTB48,KLHL21,PHF13,THAP3,DNAJC11,DNAJC11,LINC01672	-0.174771	2	30.497	4249	3394.89	0.00497538	-0.186196	-0.165042	-0.837677	0.454797
chr1	6780884	6919764	CAMTA1-DT,CAMTA1	0.0230571	2	39.0738	192	169.993	0.0198123	-0.0274227	0.0660488	-0.496229	0.626342
chr1	6919764	7747410	CAMTA1	-0.147484	2	29.9518	1123	864.95	0.00946599	-0.163773	-0.12922	-0.782089	0.442801
chr1	7747410	7788298	CAMTA1,VAMP3,PER3	0.162227	2	44.1138	55	48.8465	0.0257435	0.114189	0.214201	-0.27925	0.454753
chr1	7788298	7944804	PER3,UTS2,TNFRSF9	-0.19816	2	34.2108	222	193.209	0.0193047	-0.233354	-0.157216	-0.714163	0.301085
