chromosome	start	end	gene	log2	baf	cn	cn1	cn2	depth	probes	weight	sem	ci_lo	ci_hi	pi_lo	pi_hi
chr1	11411	117304	DDX11L1,WASH7P,MIR1302-2,FAM138F,OR4F5	0.181167	0.223051	2	2	0	42.6861	134	109.513	0.0260964	0.133974	0.225485	-0.365395	0.750788
chr1	117304	177310	LOC729737	-0.300843	0.130435	1	1	0	27.3704	78	64.4535	0.0399846	-0.380744	-0.219243	-0.971414	0.291655
chr1	177310	379656	DDX11L17,MIR6859-3,FAM138D	0.180113	0.294118	2	1	1	40.4196	137	113.543	0.0302641	0.131833	0.229248	-0.459663	0.855532
chr1	379656	762916	-,OR4F3,LOC100132287,LOC101928626,OR4F3,LOC100288069	-0.34138	0	1	1	0	25.5967	394	312.406	0.0208508	-0.374432	-0.297857	-1.31099	0.321125
chr1	762916	1119591	LOC100288069,FAM87B,LINC00115,LINC01128,FAM41C,LINC02593,LOC107985728,SAMD11,NOC2L,KLHL17,PLEKHN1,PERM1,ISG15,AGRN,LOC100288175,LOC105378948,RNF223,C1orf159	0.13479	0.369396	2	1	1	35.6602	445	373.029	0.0165367	0.0959076	0.167828	-0.486706	0.870653
chr1	1119591	1270438	LINC01342,MIR429,TTLL10,TNFRSF18,TNFRSF4,SDF4,B3GALT6,C1QTNF12,UBE2J2	-0.0670919	0.38806	2	1	1	30.2079	195	159.714	0.0256211	-0.10929	-0.0219221	-0.66981	1.0371
chr1	1270438	1443137	UBE2J2,SCNN1D,ACAP3,PUSL1,INTS11,CPTP,TAS1R3,DVL1,MXRA8,AURKAIP1,CCNL2,MRPL20-AS1,MRPL20,ANKRD65,TMEM88B,LINC01770,VWA1	0.285918	0.424242	3	2	1	42.0525	214	176.514	0.0274991	0.244239	0.330029	-0.367059	1.3416
chr1	1443137	1553100	ATAD3C,ATAD3B,ATAD3A,TMEM240,SSU72	-0.082677	0.380952	2	1	1	33.8389	149	122.063	0.0300397	-0.149217	-0.0195869	-0.64937	0.668454
chr1	1553100	1923874	SSU72,FNDC10,LOC105378586,MIB2,MMP23B,CDK11B,SLC35E2B,MMP23A,CDK11A,SLC35E2A,NADK,GNB1,LOC105378949,CALML6,TMEM52,CFAP74	0.222365	0.417194	3	2	1	42.1238	483	373.652	0.0163566	0.194597	0.248829	-0.368165	1.01054
chr1	1923874	2088114	CFAP74,GABRD,LOC105378591,PRKCZ	-0.0930487	0.4	2	1	1	31.5929	227	190.081	0.0234338	-0.135482	-0.0473152	-0.665024	0.658394
chr1	2088114	2323548	PRKCZ,FAAP20,SKI,MORN1	0.268754	0.416026	3	2	1	42.7739	314	267.056	0.0184548	0.231897	0.298598	-0.300916	1.02215
chr1	2323548	2371481	MORN1	-0.0769824	0.392857	2	1	1	30.5049	65	55.7437	0.0465394	-0.140967	0.0105151	-0.589917	0.839974
chr1	2371481	2417299	MORN1,RER1,PEX10	0.286609	0.423878	3	2	1	40.7543	63	55.905	0.0400347	0.212345	0.389766	-0.198169	0.824014
chr1	2417299	2487788	PLCH2	-0.290315	0.34375	1	1	0	22.9247	94	62.0524	0.044487	-0.383185	-0.190482	-1.03727	0.929316
chr1	2487788	2590703	PLCH2,PANK4,HES5,TNFRSF14-AS1,TNFRSF14,LOC100996583,PRXL2B	0.169054	0.357143	2	1	1	34.468	136	109.388	0.0363556	0.0834258	0.225716	-0.473653	1.19697
chr1	2590703	3454088	PRXL2B,MMEL1,TTC34,ACTRT2,PRDM16-DT,PRDM16,PRDM16	-0.321496	0.248711	1	1	0	23.5261	1067	811.308	0.0117198	-0.346767	-0.306094	-0.953674	0.595397
chr1	3454793	3474533	ARHGEF16	0.354893	0.417882	3	2	1	43.9515	28	25.9326	0.067262	0.211246	0.456448	-0.211002	1.08825
chr1	3474533	3614118	ARHGEF16,MEGF6	-0.16402	0.333333	2	1	1	25.3449	191	146.153	0.025745	-0.201949	-0.109268	-0.693142	0.795691
chr1	3614118	3680386	TPRG1L,WRAP73,TP73	0.126841	0.644269	2	1	1	35.7239	90	79.3091	0.0294731	0.0624824	0.190431	-0.332298	0.70464
chr1	3680386	6195751	TP73,TP73-AS1,CCDC27,SMIM1,LRRC47,CEP104,DFFB,C1orf174,LINC01134,LINC01134,LINC01346,LINC01777,LINC01646,AJAP1,NPHP4,KCNAB2,CHD5,RPL22	-0.346523	0.285714	1	1	0	23.9449	3464	2743.03	0.0059167	-0.358221	-0.336708	-0.962505	0.320775
chr1	6195751	6428394	RPL22,RNF207-AS1,RNF207,ICMT,LINC00337,HES3,GPR153,ACOT7,ACOT7,HES2,ESPN	0.110678	0.408307	2	1	1	37.3	302	243.971	0.0192678	0.0715095	0.149406	-0.501451	0.713666
chr1	6428394	6601114	ESPN,TNFRSF25,PLEKHG5,NOL9,TAS1R1,ZBTB48,KLHL21	-0.0787809	0.413793	2	1	1	31.7802	234	193.984	0.0194288	-0.111862	-0.0432012	-0.655697	0.732099
chr1	6601114	6624378	KLHL21,PHF13	0.584987	0.573034	3	2	1	58.965	26	19.3269	0.0758341	0.408854	0.717662	-0.0480519	1.38392
chr1	6624378	6665267	THAP3,DNAJC11	0.025629	0	2	2	0	36.0864	57	45.1016	0.0474317	-0.0828854	0.117662	-0.533446	1.09063
chr1	6665267	6782294	DNAJC11,LINC01672	-0.185637	0.392857	2	1	1	30.0897	160	135.503	0.0193942	-0.222984	-0.15276	-0.662247	0.2574
chr1	6782294	6919764	CAMTA1-DT,CAMTA1	0.110271	0.429972	2	1	1	36.8129	190	167.704	0.0230051	0.0649155	0.159851	-0.458945	0.776818
chr1	6919764	7743180	CAMTA1	-0.259156	0.333333	1	1	0	25.1894	1117	857.777	0.010652	-0.276388	-0.238238	-0.892967	0.424663
